epoch,lr,train_loss,train_acc1,train_precision,train_recall,train_f1,eval_loss,eval_acc1,eval_precision,eval_recall,eval_f1,eval_split
100,0.05282260,0.088371,0.974299,0.974433,0.974396,0.974399,2.201392,0.578330,0.584704,0.578534,0.573326,val
101,0.05201810,0.084318,0.975097,0.975108,0.975105,0.975091,2.137411,0.594823,0.605768,0.595741,0.593366,val
102,0.05121307,0.075276,0.979116,0.979237,0.979205,0.979206,2.180246,0.584348,0.598444,0.585258,0.583450,val
103,0.05040772,0.081085,0.976974,0.977163,0.977112,0.977121,2.151219,0.595275,0.605763,0.598956,0.595733,val
104,0.04960228,0.076033,0.978181,0.978368,0.978344,0.978342,2.096527,0.591662,0.597928,0.594059,0.590101,val
105,0.04879693,0.069821,0.980382,0.980379,0.980370,0.980361,2.106156,0.598237,0.600262,0.600102,0.594212,val
106,0.04799190,0.060080,0.983046,0.983103,0.983099,0.983088,2.142449,0.593598,0.603356,0.596261,0.593666,val
107,0.04718740,0.076742,0.978204,0.978314,0.978309,0.978296,2.163680,0.585668,0.593481,0.588062,0.582550,val
108,0.04638362,0.067745,0.980705,0.980786,0.980741,0.980752,2.103142,0.593480,0.598365,0.596035,0.591198,val
109,0.04558079,0.056821,0.984068,0.984082,0.984082,0.984072,2.084392,0.598571,0.606334,0.600575,0.597647,val
110,0.04477910,0.045800,0.988504,0.988554,0.988518,0.988527,2.096244,0.604237,0.606889,0.606160,0.600792,val
111,0.04397877,0.043570,0.989353,0.989348,0.989324,0.989330,2.077253,0.597979,0.598052,0.599963,0.593292,val
112,0.04318000,0.036356,0.991499,0.991567,0.991550,0.991551,2.069719,0.609522,0.614837,0.611553,0.607490,val
113,0.04238301,0.033236,0.992732,0.992802,0.992785,0.992790,2.070399,0.599914,0.602407,0.601754,0.597437,val
114,0.04158799,0.032015,0.992902,0.992886,0.992896,0.992886,2.015927,0.608695,0.611620,0.610241,0.605583,val
115,0.04079516,0.024564,0.994690,0.994735,0.994724,0.994726,2.032827,0.605774,0.603970,0.608327,0.600206,val
116,0.04000472,0.020149,0.996243,0.996270,0.996274,0.996270,1.999431,0.609662,0.610504,0.610866,0.605183,val
117,0.03921687,0.016935,0.996845,0.996846,0.996844,0.996842,1.977016,0.613293,0.613002,0.614305,0.609994,val
118,0.03843182,0.013028,0.997733,0.997726,0.997735,0.997729,1.940865,0.621188,0.617817,0.620522,0.615313,val
119,0.03764978,0.010708,0.998571,0.998569,0.998571,0.998568,1.908368,0.619704,0.618768,0.622002,0.615539,val
120,0.03687094,0.010203,0.998497,0.998500,0.998489,0.998493,1.911162,0.615463,0.615787,0.616957,0.611620,val
121,0.03609552,0.011390,0.998152,0.998155,0.998157,0.998154,1.919263,0.611633,0.612856,0.614158,0.609016,val
122,0.03532370,0.008969,0.998891,0.998889,0.998889,0.998888,1.887761,0.619645,0.619226,0.622268,0.616384,val
123,0.03455570,0.006926,0.999359,0.999361,0.999359,0.999359,1.834040,0.628150,0.626798,0.629891,0.624097,val
124,0.03379170,0.005751,0.999581,0.999578,0.999576,0.999577,1.844312,0.627106,0.625007,0.627790,0.622680,val
125,0.03303191,0.007026,0.999113,0.999109,0.999106,0.999107,1.825647,0.623927,0.622502,0.626150,0.619806,val
126,0.03227653,0.006275,0.999458,0.999457,0.999455,0.999455,1.786201,0.633417,0.633264,0.635018,0.630074,val
127,0.03152575,0.004853,0.999581,0.999582,0.999578,0.999579,1.793739,0.634461,0.632074,0.636913,0.630151,val
128,0.03077976,0.004632,0.999532,0.999534,0.999528,0.999531,1.779479,0.633100,0.630472,0.634833,0.627374,val
129,0.03003877,0.004254,0.999754,0.999753,0.999753,0.999753,1.753417,0.632924,0.631953,0.633973,0.628192,val
130,0.02930295,0.004066,0.999827,0.999825,0.999827,0.999826,1.738486,0.632015,0.630601,0.633783,0.628212,val
131,0.02857252,0.004121,0.999729,0.999725,0.999728,0.999726,1.724298,0.640461,0.637375,0.641709,0.635404,val
132,0.02784764,0.003484,0.999803,0.999803,0.999803,0.999802,1.723892,0.635352,0.632296,0.636251,0.630125,val
133,0.02712851,0.003619,0.999827,0.999825,0.999826,0.999825,1.710270,0.634660,0.630722,0.635974,0.629291,val
134,0.02641532,0.003987,0.999704,0.999704,0.999704,0.999704,1.706924,0.637757,0.634996,0.639495,0.632414,val
135,0.02570826,0.003695,0.999754,0.999751,0.999751,0.999751,1.697963,0.640261,0.638364,0.643136,0.636232,val
136,0.02500750,0.003566,0.999778,0.999778,0.999778,0.999778,1.704337,0.639018,0.635688,0.641447,0.634641,val
137,0.02431323,0.003394,0.999827,0.999826,0.999826,0.999825,1.676716,0.640895,0.636894,0.642610,0.635861,val
138,0.02362563,0.003287,0.999852,0.999852,0.999850,0.999851,1.670482,0.645059,0.640568,0.646335,0.639986,val
139,0.02294487,0.003308,0.999877,0.999875,0.999877,0.999876,1.672766,0.641939,0.638270,0.643998,0.637465,val
140,0.02227114,0.003421,0.999778,0.999777,0.999777,0.999777,1.666329,0.640126,0.635318,0.641946,0.634813,val
141,0.02160460,0.003223,0.999852,0.999853,0.999851,0.999852,1.653220,0.640895,0.636697,0.642217,0.635643,val
142,0.02094544,0.003381,0.999852,0.999851,0.999852,0.999851,1.654912,0.642572,0.640536,0.644305,0.638007,val
143,0.02029382,0.003128,0.999852,0.999852,0.999851,0.999851,1.644806,0.640836,0.637864,0.642578,0.635598,val
144,0.01964991,0.003119,0.999778,0.999778,0.999777,0.999777,1.638837,0.644525,0.641374,0.646141,0.639537,val
145,0.01901388,0.003432,0.999754,0.999753,0.999753,0.999753,1.641569,0.641980,0.639453,0.643610,0.636903,val
146,0.01838589,0.003143,0.999901,0.999902,0.999901,0.999901,1.636010,0.643599,0.640050,0.645337,0.638310,val
147,0.01776611,0.003054,0.999877,0.999877,0.999877,0.999877,1.636837,0.643341,0.639827,0.645666,0.638659,val
148,0.01715470,0.003107,0.999852,0.999851,0.999852,0.999851,1.636329,0.641429,0.638255,0.643051,0.636352,val
149,0.01655182,0.002957,0.999877,0.999876,0.999874,0.999875,1.630964,0.639217,0.636980,0.640877,0.634356,val
150,0.01595761,0.003224,0.999742,0.999776,0.999778,0.999777,1.622495,0.640402,0.635722,0.641639,0.634750,val
151,0.01537225,0.003145,0.999877,0.999877,0.999874,0.999875,1.628485,0.642297,0.638902,0.644091,0.636693,val
152,0.01479587,0.002847,0.999951,0.999950,0.999951,0.999950,1.627084,0.641704,0.639869,0.643416,0.637215,val
153,0.01422863,0.003125,0.999877,0.999877,0.999876,0.999876,1.617081,0.640836,0.638835,0.642652,0.635615,val
