dataset,architecture,seed,condition,mode,M,cutout_area,config_epochs,metrics_epoch_count,required_columns_ok,epoch_sequence_ok,status,analysis_valid,issue_count,issues,source_path,config_path,metrics_path,config_sha256,metrics_sha256
CIFAR-100,resnet18,43,High-saliency cutout,cam_high,8.0,0.3,100,100,True,True,valid,True,0,,runs/cifar100/resnet18/43/0.3/resnet18_seed43_cam_high_M8_area0.3,runs/cifar100/resnet18/43/0.3/resnet18_seed43_cam_high_M8_area0.3/config.json,runs/cifar100/resnet18/43/0.3/resnet18_seed43_cam_high_M8_area0.3/metrics.csv,eb3e9f4b7ab96e26ef32524a4e9400a570f77386aa3d08115d09d5de6fa7ee9e,75336d95678f5e13711d7c0692da30e2be2eb1f37457753bb1ad1c96414fc8de
CIFAR-100,resnet18,43,Low-saliency cutout,cam_low,4.0,0.05,100,100,True,True,valid,True,0,,runs/cifar100/resnet18/43/0.05/resnet18_seed43_cam_low_M4_area0.05,runs/cifar100/resnet18/43/0.05/resnet18_seed43_cam_low_M4_area0.05/config.json,runs/cifar100/resnet18/43/0.05/resnet18_seed43_cam_low_M4_area0.05/metrics.csv,b85dabacc7ebeb87db90bafb5a1cd7be835dc863e030ad61b307427bc64a5af2,da2e87c0ea973a36724b2564d5d4a140cdb007ef67108736bfc6d8e31e92ad2f
CIFAR-100,resnet18,43,Low-saliency cutout,cam_low,4.0,0.1,100,100,True,True,valid,True,0,,runs/cifar100/resnet18/43/0.1/resnet18_seed43_cam_low_M4_area0.1,runs/cifar100/resnet18/43/0.1/resnet18_seed43_cam_low_M4_area0.1/config.json,runs/cifar100/resnet18/43/0.1/resnet18_seed43_cam_low_M4_area0.1/metrics.csv,5130f3389eadda85244a5f7f5463ff5ee6f68e6c8003fdb83897de181e5e86c7,ac8c44668292129025bd01ff343342daa447dd94d57bd91005b94bcbe0d74ae0
CIFAR-100,resnet18,43,Low-saliency cutout,cam_low,4.0,0.2,100,100,True,True,valid,True,0,,runs/cifar100/resnet18/43/0.2/resnet18_seed43_cam_low_M4_area0.2,runs/cifar100/resnet18/43/0.2/resnet18_seed43_cam_low_M4_area0.2/config.json,runs/cifar100/resnet18/43/0.2/resnet18_seed43_cam_low_M4_area0.2/metrics.csv,21f02aec35b7de8fd95f82808320e6fcac0a6d89e30b76b213b7df2518d3d459,fc95b4caa5cfa842f9c03a146a36d014f9d29a0d4b8afde7206f24e24819af1e
CIFAR-100,resnet18,43,Low-saliency cutout,cam_low,4.0,0.3,100,100,True,True,valid,True,0,,runs/cifar100/resnet18/43/0.3/resnet18_seed43_cam_low_M4_area0.3,runs/cifar100/resnet18/43/0.3/resnet18_seed43_cam_low_M4_area0.3/config.json,runs/cifar100/resnet18/43/0.3/resnet18_seed43_cam_low_M4_area0.3/metrics.csv,2587c283b4a92d48e72fa645c865fcc9a2be329caf2d7d8f42de2951e1d446e8,a8153f09e0a73684ef17a39bd544dcc41e3f5e24089efd932c3b3e188f0e1d2d
CIFAR-100,resnet18,43,Low-saliency cutout,cam_low,8.0,0.05,100,100,True,True,valid,True,0,,runs/cifar100/resnet18/43/0.05/resnet18_seed43_cam_low_M8_area0.05,runs/cifar100/resnet18/43/0.05/resnet18_seed43_cam_low_M8_area0.05/config.json,runs/cifar100/resnet18/43/0.05/resnet18_seed43_cam_low_M8_area0.05/metrics.csv,6d55dd6f1af2fa4264b0f79a28fa454167b121e86a62ce56021a14bbf08a9c25,a217453afd9a6ef56af7c362125d7f42eb8e47c1a372350b6234d8add4545a97
CIFAR-100,resnet18,43,Low-saliency cutout,cam_low,8.0,0.1,100,100,True,True,valid,True,0,,runs/cifar100/resnet18/43/0.1/resnet18_seed43_cam_low_M8_area0.1,runs/cifar100/resnet18/43/0.1/resnet18_seed43_cam_low_M8_area0.1/config.json,runs/cifar100/resnet18/43/0.1/resnet18_seed43_cam_low_M8_area0.1/metrics.csv,6ccb13133232db545dc1b8621d6e0299fa6ad5508e2f411c846d0ba27ca314b3,2a5160427274198e4ef62558b8e87ebc62288ae1b0fa6efab7276b0515ebfd72
CIFAR-100,resnet18,43,Low-saliency cutout,cam_low,8.0,0.2,100,100,True,True,valid,True,0,,runs/cifar100/resnet18/43/0.2/resnet18_seed43_cam_low_M8_area0.2,runs/cifar100/resnet18/43/0.2/resnet18_seed43_cam_low_M8_area0.2/config.json,runs/cifar100/resnet18/43/0.2/resnet18_seed43_cam_low_M8_area0.2/metrics.csv,746506115fcddbd0753f117c7a2abc6f51c3e735c51c5f4768bb10b75d5cf47c,f0140f547be60d8dfa206a549b51ecc83bfa3c579b183f359b86a038f3a8775c
CIFAR-100,resnet18,43,Low-saliency cutout,cam_low,8.0,0.3,100,100,True,True,valid,True,0,,runs/cifar100/resnet18/43/0.3/resnet18_seed43_cam_low_M8_area0.3,runs/cifar100/resnet18/43/0.3/resnet18_seed43_cam_low_M8_area0.3/config.json,runs/cifar100/resnet18/43/0.3/resnet18_seed43_cam_low_M8_area0.3/metrics.csv,d2a84d45a2b0f1d4631086f04e76e821f15dd0b003c59f18646f31b8db544923,ff31a4ae1888f3ac5889521ed6fee249da28afcf795f3df237521492dba91d9b
CIFAR-100,resnet18,43,Random cutout,random,4.0,0.05,100,100,True,True,valid,True,0,,runs/cifar100/resnet18/43/0.05/resnet18_seed43_random_M4_area0.05,runs/cifar100/resnet18/43/0.05/resnet18_seed43_random_M4_area0.05/config.json,runs/cifar100/resnet18/43/0.05/resnet18_seed43_random_M4_area0.05/metrics.csv,1cf4d4904072760e1531863d50b07afdfdd9eeccd6219756af340fa4d2ae618f,aa0f942a638e3b928485d822bd1999dd26fef3546facdfffa800414e230bf36c
CIFAR-100,resnet18,43,Random cutout,random,4.0,0.1,100,100,True,True,valid,True,0,,runs/cifar100/resnet18/43/0.1/resnet18_seed43_random_M4_area0.1,runs/cifar100/resnet18/43/0.1/resnet18_seed43_random_M4_area0.1/config.json,runs/cifar100/resnet18/43/0.1/resnet18_seed43_random_M4_area0.1/metrics.csv,e7f7ca90a4661854d0421f36bb027a6a29743bb137dd7a37b45731f6e968a642,6ccae69505ffff2a10bedc89bae69bb85f5f7c02ac68154beaf4978811ece562
CIFAR-100,resnet18,43,Random cutout,random,4.0,0.2,100,100,True,True,valid,True,0,,runs/cifar100/resnet18/43/0.2/resnet18_seed43_random_M4_area0.2,runs/cifar100/resnet18/43/0.2/resnet18_seed43_random_M4_area0.2/config.json,runs/cifar100/resnet18/43/0.2/resnet18_seed43_random_M4_area0.2/metrics.csv,ec75e6a521c08d8296e05fbc0046d99733f0f727c0e1722713c9df15568f6223,61579674b2bc6cf095cea97269d140f2593c6c29777b3f67d669416b961a0e2d
CIFAR-100,resnet18,43,Random cutout,random,4.0,0.3,100,100,True,True,valid,True,0,,runs/cifar100/resnet18/43/0.3/resnet18_seed43_random_M4_area0.3,runs/cifar100/resnet18/43/0.3/resnet18_seed43_random_M4_area0.3/config.json,runs/cifar100/resnet18/43/0.3/resnet18_seed43_random_M4_area0.3/metrics.csv,77c844e9e358393b5b7ea458f651919d0dccf6f12363f2b3095b30a10123e63e,7bd331949d5cec2125af7d714da660a2aae8fbb40d8cab059cb7a8f65ea4ca6a
CIFAR-100,resnet18,43,Random cutout,random,8.0,0.05,100,100,True,True,valid,True,0,,runs/cifar100/resnet18/43/0.05/resnet18_seed43_random_M8_area0.05,runs/cifar100/resnet18/43/0.05/resnet18_seed43_random_M8_area0.05/config.json,runs/cifar100/resnet18/43/0.05/resnet18_seed43_random_M8_area0.05/metrics.csv,4bf462e89d22a205fe24bb5ec422f693e8f52ca169825c53095c8105c73542a3,d31bbffad35549dcaeb4db8bebc66fe6e93a639a6b211e5bb7b4b95a464ec04e
CIFAR-100,resnet18,43,Random cutout,random,8.0,0.1,100,100,True,True,valid,True,0,,runs/cifar100/resnet18/43/0.1/resnet18_seed43_random_M8_area0.1,runs/cifar100/resnet18/43/0.1/resnet18_seed43_random_M8_area0.1/config.json,runs/cifar100/resnet18/43/0.1/resnet18_seed43_random_M8_area0.1/metrics.csv,3ded665e200e00ac6b82d3a603db2c363618ba26e29c47a7793afabcc4c895bb,d10dcdd1854813cb97d81bf116489c16fbb8f7f7e622de046489c0c740d771a4
