dataset,architecture,comparison_key,comparison,condition,mode,M,cutout_area,condition_a,condition_b,M_a,M_b,metric,metric_label,difference_interpretation,n_paired_seeds,seeds_paired,seeds_missing,mean_paired_difference,sample_variance,sample_std,standard_error,ci95_low,ci95_high,min,max,seed_42_difference,seed_43_difference,seed_44_difference,seed_level_differences
CIFAR-100,resnet18,cam_low_minus_random,Low-saliency cutout minus random cutout,Low-saliency cutout,cam_low,8.0,0.2,Low-saliency cutout M8,Random cutout M8,8,8.0,final_validation_accuracy,Final validation accuracy,positive means Low-saliency cutout M8 is higher than Random cutout M8,3,42;43;44,,0.03665366666666673,5.503736233333297e-05,0.007418717027447062,0.004283198272838222,0.018224551925288098,0.05508278140804536,0.03234200000000009,0.04522000000000004,0.03239900000000007,0.04522000000000004,0.03234200000000009,42:0.0323990000;43:0.0452200000;44:0.0323420000
CIFAR-100,resnet18,cam_low_minus_random,Low-saliency cutout minus random cutout,Low-saliency cutout,cam_low,8.0,0.2,Low-saliency cutout M8,Random cutout M8,8,8.0,maximum_validation_drawdown,Maximum validation drawdown,positive means Low-saliency cutout M8 is higher than Random cutout M8,3,42;43;44,,0.08306866666666668,0.012138640742333335,0.11017549973716177,0.06360985443135189,-0.19062244715164833,0.3567597804849817,0.018359000000000014,0.21028200000000002,0.018359000000000014,0.21028200000000002,0.020565,42:0.0183590000;43:0.2102820000;44:0.0205650000
CIFAR-100,resnet18,cam_low_minus_random,Low-saliency cutout minus random cutout,Low-saliency cutout,cam_low,8.0,0.2,Low-saliency cutout M8,Random cutout M8,8,8.0,validation_aulc,Normalized validation AULC,positive means Low-saliency cutout M8 is higher than Random cutout M8,3,42;43;44,,0.02062046969696966,7.365009709214757e-07,0.000858196347534453,0.0004954798922665701,0.01848859178589276,0.022752347608046564,0.020113398989898834,0.02161133838383844,0.02161133838383844,0.020136671717171706,0.020113398989898834,42:0.0216113384;43:0.0201366717;44:0.0201133990
CIFAR-100,resnet18,cam_low_minus_random,Low-saliency cutout minus random cutout,Low-saliency cutout,cam_low,8.0,0.3,Low-saliency cutout M8,Random cutout M8,8,8.0,best_to_final_degradation,Best-to-final degradation,positive means Low-saliency cutout M8 is higher than Random cutout M8,3,42;43;44,,0.018064666666666656,8.391528233333356e-05,0.009160528496398751,0.005288833593315057,-0.004691347631656833,0.04082068096499014,0.00906499999999999,0.027378000000000013,0.01775099999999996,0.027378000000000013,0.00906499999999999,42:0.0177510000;43:0.0273780000;44:0.0090650000
CIFAR-100,resnet18,cam_low_minus_random,Low-saliency cutout minus random cutout,Low-saliency cutout,cam_low,8.0,0.3,Low-saliency cutout M8,Random cutout M8,8,8.0,best_validation_accuracy,Best validation accuracy,positive means Low-saliency cutout M8 is higher than Random cutout M8,3,42;43;44,,0.07908266666666668,0.00014302098633333401,0.011959138193587949,0.006904611655343938,0.049374520478823875,0.10879081285450948,0.06684299999999999,0.09074000000000004,0.07966499999999999,0.09074000000000004,0.06684299999999999,42:0.0796650000;43:0.0907400000;44:0.0668430000
CIFAR-100,resnet18,cam_low_minus_random,Low-saliency cutout minus random cutout,Low-saliency cutout,cam_low,8.0,0.3,Low-saliency cutout M8,Random cutout M8,8,8.0,final_validation_accuracy,Final validation accuracy,positive means Low-saliency cutout M8 is higher than Random cutout M8,3,42;43;44,,0.06101800000000002,8.397376000000103e-06,0.002897822630873067,0.0016730586759983548,0.053819409520413954,0.06821659047958609,0.057777999999999996,0.06336200000000003,0.061914000000000025,0.06336200000000003,0.057777999999999996,42:0.0619140000;43:0.0633620000;44:0.0577780000
CIFAR-100,resnet18,cam_low_minus_random,Low-saliency cutout minus random cutout,Low-saliency cutout,cam_low,8.0,0.3,Low-saliency cutout M8,Random cutout M8,8,8.0,maximum_validation_drawdown,Maximum validation drawdown,positive means Low-saliency cutout M8 is higher than Random cutout M8,3,42;43;44,,0.008134333333333335,0.0002991965003333333,0.017297297486409062,0.009986599360031309,-0.03483453566563557,0.051103202332302235,-0.008489999999999998,0.026034,0.026034,-0.008489999999999998,0.006859000000000004,42:0.0260340000;43:-0.0084900000;44:0.0068590000
CIFAR-100,resnet18,cam_low_minus_random,Low-saliency cutout minus random cutout,Low-saliency cutout,cam_low,8.0,0.3,Low-saliency cutout M8,Random cutout M8,8,8.0,validation_aulc,Normalized validation AULC,positive means Low-saliency cutout M8 is higher than Random cutout M8,3,42;43;44,,0.04504304882154878,2.4166716633718522e-05,0.004915965483373385,0.0028382339951525328,0.032831113574178755,0.05725498406891881,0.04100195454545463,0.05051596969696959,0.04100195454545463,0.05051596969696959,0.043611222222222135,42:0.0410019545;43:0.0505159697;44:0.0436112222
CIFAR-100,resnet18,cam_high_minus_random,High-saliency cutout minus random cutout,High-saliency cutout,cam_high,4.0,0.05,High-saliency cutout M4,Random cutout M4,4,4.0,best_to_final_degradation,Best-to-final degradation,positive means High-saliency cutout M4 is higher than Random cutout M4,3,42;43;44,,0.0002603333333333069,1.6062409333333216e-05,0.0040077935741918164,0.0023139006989160976,-0.009695577825601646,0.01021624449226826,-0.00436700000000001,0.002630999999999939,-0.00436700000000001,0.0025169999999999915,0.002630999999999939,42:-0.0043670000;43:0.0025170000;44:0.0026310000
CIFAR-100,resnet18,cam_high_minus_random,High-saliency cutout minus random cutout,High-saliency cutout,cam_high,4.0,0.05,High-saliency cutout M4,Random cutout M4,4,4.0,best_validation_accuracy,Best validation accuracy,positive means High-saliency cutout M4 is higher than Random cutout M4,3,42;43;44,,-0.019512333333333354,1.951643233333315e-05,0.00441774063672067,0.002550583745820628,-0.030486609450155803,-0.008538057216510905,-0.023737000000000008,-0.014924000000000048,-0.023737000000000008,-0.014924000000000048,-0.019876000000000005,42:-0.0237370000;43:-0.0149240000;44:-0.0198760000
